;all data;;;;bootstrap - mean;;;;;bootstrap - std;;;;;Significance (68.5/95/99.7);;;;
hydrophobic;344;119;45;505;hydrophobic;274,87;94,43;36,02;404,16;hydrophobic;11,94709588;4,930020284;3,039671035;18,78601608;hydrophobic;***;***;0;**
positive;192;176;40;521;positive;152,53;140,75;31,95;418,24;positive;8,997171778;7,818407766;2,535251467;22,35491892;positive;*;***;***;*
negative;46;156;34;148;negative;37,3;124,69;27,03;120,28;negative;2,555386468;7,954489299;2,439077695;6,919653171;negative;**;*;***;***
other;248;220;76;214;other;198,61;176,73;60,81;171,2;other;8,915037857;8,75197692;4,307423824;8,631338251;other;***;***;***;***
Parcoil PM;hydrophobic;positive;negative;other;Paircoil PM;hydrophobic;positive;negative;other;Paircoil PM;hydrophobic;positive;negative;other;Paircoil DM vs Proteome DM;hydrophobic;positive;negative;other
hydrophobic;1052;59;51;608;hydrophobic;844,24;47,67;40,76;485,92;hydrophobic;17,66472191;3,140238844;2,782516846;10,62796312;hydrophobic;***;***;***;***
positive;156;365;78;570;positive;124,76;291,83;62,93;457,43;positive;4,970150903;8,664935083;3,881378621;12,5173919;positive;***;***;***;***
negative;70;190;132;259;negative;55,61;152,66;106,42;207,62;negative;3,872712228;6,259744404;4,737467678;6,246246873;negative;***;***;***;***
other;512;410;158;531;other;408,96;327,55;126,49;425,03;other;10,27805429;9,465067353;5,002989107;10,92470137;other;***;***;***;***
Proteome DM;hydrophobic;positive;negative;other;Proteome DM;hydrophobic;positive;negative;other;Proteome DM;hydrophobic;positive;negative;other;Proteome DM vs Proteome PM;hydrophobic;positive;negative;other
hydrophobic;2267;776;365;3075;hydrophobic;1810,55;621,34;291,63;2456,17;hydrophobic;58,60433004;19,17979145;10,74397971;71,34522479;hydrophobic;***;***;***;0
positive;1041;900;178;2605;positive;833,1;720,36;142,06;2084,67;positive;25,08366002;19,62422992;6,458823422;57,89975043;positive;***;***;***;0
negative;242;639;130;797;negative;192,48;510,73;103,76;635,62;negative;7,67656173;18,39666002;5,026171505;21,96669297;negative;*;*;***;***
other;2756;2005;817;1883;other;2199,69;1598,96;649,16;1500,75;other;67,36374322;50,50760735;21,64842719;48,5212067;other;***;*;*;***
Proteome PM;hydrophobic;positive;negative;other;Proteome PM;hydrophobic;positive;negative;other;Proteome PM;hydrophobic;positive;negative;other;;;;;
hydrophobic;5523;302;228;3111;hydrophobic;4420,07;241,63;181,79;2490,27;hydrophobic;46,60327349;7,043656721;5,614792961;28,72763652;;;;;
positive;761;1594;304;2644;positive;608,08;1274,4;244,1;2113,81;positive;12,55522202;22,10836946;7,139327699;31,91197111;;;;;
negative;275;715;536;1094;negative;220,18;571,72;427,64;872,67;negative;7,549013181;13,57356254;9,307545326;15,77089408;;;;;
other;3846;2143;749;3659;other;3076,03;1713,06;597,72;2926,73;other;33,47878582;23,23524048;11,69109062;32,84413342;;;;;

