cluster;representative protein;other proteins
375;Q6GYQ0;
376;Q9ULL5;
377;P51610;Q9Y5Z7
378;Q92817;A8MZ36
379;Q14008;
380;Q8IZD9;Q8N1I0,
381;Q9P219;Q3V6T2
382;O14578;
383;P53804;
384;Q15154;
385;Q9BX84;
386;Q5TZA2;Q86T23,Q8IVE0
387;Q14524;P35498,Q9UQD0,Q15858,Q9NY46,P35499,Q99250,Q9Y5Y9
388;Q38SD2;
389;Q92621;
390;A6NHR9;
391;Q92794;P35326,P22531,Q96RM1,A0A1B0GTR4,P35325,Q9BYE4,P22532
392;Q99466;
393;Q6N021;
394;Q7RTP6;O94851
395;Q12873;Q8TDI0,Q14839
396;P23467;
397;Q9HC10;Q2WGJ9,
398;Q8TF72;
399;Q7Z406;P35580,P35579,P35749
400;Q14669;
401;Q9HCD6;Q9C0D5,
402;O60293;
403;Q8NEV8;
404;Q68DN1;
405;A7E2Y1;P12883,Q9Y623,Q9UKX3,P12882,P13533,Q9H6N6,Q9UKX2,Q9Y2K3,P13535,P11055,
406;Q9UKL3;
407;O60318;
408;Q15643;
409;Q14966;
410;Q12888;
411;P24928;
412;Q05BV3;Q6ZMW3,H0YJ79,H0YJS1,H0YJX1
413;Q9UPS6;
414;Q8NDV7;
415;Q9UGU0;
416;Q5T5U3;
417;Q96QU1;
418;Q6YHU6;
419;Q9HCM3;
420;Q4ZG55;
421;Q13332;P23469,P10586,P23468,P18433,A0A0U1RRE5
422;Q9H1A4;
423;Q07283;
424;Q5T5P2;
425;P42694;
426;A6QL64;Q5JPF3,Q8N2N9,Q96IX9
427;Q562E7;
428;Q2TAZ0;
429;Q9P2N4;P59510
430;B5MCY1;
431;P09848;Q9H227,
432;Q6ZU64;
433;Q9Y4D7;
434;Q9C091;
435;Q9UPY3;
436;Q8TDM6;
437;Q9P2E3;
438;Q13129;
439;Q15746;
440;Q5TCS8;
441;Q7Z2Z1;
442;O14513;
443;Q5VZ89;Q7Z401,
444;Q5JRA6;
445;Q96L96;
446;Q7Z5J4;
447;A3KMH1;
448;O75096;
449;Q9UIF9;
450;Q9Y4B5;H3BRB8,Q5TF21,H3BSE6,
451;Q9UKA4;
452;Q9P2P1;
453;O75147;
454;Q9UIW2;P51805,Q9HCM2,O75051
455;Q4ZHG4;
456;Q96SN8;
457;Q5VU65;A0A075B6Y1,Q8TEM1
458;Q6ZT12;A0A075B6W4
459;Q8IZJ3;
460;Q92545;
461;Q9H2Y7;
462;Q9ULI4;
463;P16157;
464;Q8NEY1;
465;Q2PPJ7;
466;Q8N7Z5;
467;P21675;Q8IZX4,
468;Q14690;
469;Q9H7D0;Q14185,Q92608
470;O95248;Q86WG5,
471;Q86WI3;
472;Q96QT4;
473;P38398;
474;Q8IZC6;Q17RW2
475;Q92824;P16519,Q6UW60,P29120,P29122,P09958
476;Q92538;
477;Q8IZD2;
478;Q9Y6X6;Q9P242
479;O95153;
480;Q9Y4I1;Q9ULV0,Q9NQX4,K7EPI3,
481;Q96MT7;
482;O14981;
483;Q6ZVL6;
484;Q9Y6D6;Q9Y6D5
485;Q5VYK3;
486;Q9UL36;
487;Q96QE3;A0A075B709
488;Q14997;
489;Q702N8;
490;O15031;
491;P20908;P25940,P02452,P08123,P02461,P05997,P02458,P12107,P13942
492;A7E2V4;
493;Q68CP9;
494;Q8IY92;
495;Q9UPQ9;
496;O15015;
497;O14647;A0A0D9SFI3,O14646
498;P11137;
499;Q9NQT8;Q9H1H9
500;P55196;
501;Q16363;
502;P16144;
503;Q9C093;
504;Q14767;
505;Q96Q89;
506;Q96RT7;
507;P52948;
508;O60333;Q12756,O43896
509;Q69YN4;
510;Q5JV73;
511;P49815;A0N4Z7
512;Q9BY89;
513;O43166;O60292,Q9P2F8,
514;Q460N5;
515;Q5VW36;
516;Q8NI35;
517;Q9BYP7;A0N4X2,
518;P55268;P07942,
519;Q05707;
520;A9Z1Z3;
521;D6RIA3;
522;Q7Z6E9;
523;Q9BXP8;Q13219
524;Q9UI33;
525;M0R2J8;
526;Q02952;
527;Q7RTU9;A6NGW2,
528;E2RYF6;
529;Q9ULH0;
530;Q86UW6;
531;O94822;
532;Q8N6G6;P82987
533;A4D0S4;
534;Q7LBC6;
535;Q86V15;A0A1B0GUV1,
536;O60437;
537;Q6W2J9;Q8N888,
538;Q8IWV8;Q8IWV7,
539;Q9Y238;
540;P39060;
541;Q5SRE5;H7C4K7
542;Q76NI1;
543;Q9UG01;
544;Q07157;
545;Q96KV7;
546;Q9HCM1;
547;Q9H792;
548;P0C0L4;P0C0L5
549;Q9ULI1;
550;Q9Y4F3;
551;Q8IZF0;
552;Q2KHR3;
553;Q9HBL0;
554;Q5VT25;Q9H521,A0A0A0MT97,Q09013,Q9Y5S2
555;Q7Z443;
556;Q9HCF6;Q7Z4N2
557;Q9BYB0;
558;Q86VF7;
559;Q9C0C2;
560;Q7KZ85;
561;Q9UKK3;
562;Q9Y4K1;
563;O60449;
564;Q96JM4;
565;Q9NZ56;Q99954,P02814,
566;Q14766;
567;Q15811;Q9NZM3
568;O95602;
569;Q9Y4F4;
570;Q13029;
571;O60346;Q6ZVD8,
572;Q7Z3U7;
573;Q8IY21;Q5H9U9,
574;Q9P2S2;Q9Y4C0,Q9ULB1,
575;Q5H9F3;
576;O94986;
577;Q9UPS8;Q6NSI1,Q8NF67,Q92527
578;Q9BZZ2;
579;Q9ULL0;
580;Q6R327;
581;O15047;
582;Q8IZH2;
583;Q8N1W1;
584;Q8WZ64;
585;Q99758;
586;Q8IVF5;P62945,
587;Q9P1Z9;
588;A0A0G2JMZ2;O60309,A6NMS7,Q49AS3,A6NM11,Q96QE4
589;Q2M3C7;
590;Q14999;
591;Q4KWH8;O75038,
592;Q86UR5;
593;Q8N9V7;
594;P29375;Q9BY66,Q9UGL1,P41229
595;Q9HCJ0;
596;Q86U86;
597;P52746;
598;Q92766;
599;O00443;O00750,
600;Q9UKP4;P58397
601;P52179;
602;Q70EL1;
603;Q8IWJ2;
604;Q149N8;
605;Q8WWI1;
606;Q01118;
607;Q5JPB2;Q96HZ7,
608;P01031;
609;Q00610;P53675,
610;A6NES4;
611;Q7Z4S6;O75037,
612;Q9Y6Y1;
613;Q9UK61;
614;Q5T200;
615;Q8N7X0;
616;Q8NDM7;
617;Q5VV67;
618;P01024;
619;Q8WZ74;
620;Q9H0J4;
621;Q8N1P7;
622;O43151;
623;Q8TCU6;Q70Z35,
624;P46940;Q13576,Q86VI3,
625;Q96Q42;
626;Q9UPZ6;Q9C0I4,
627;H7BZ55;
628;O95785;
629;Q6T4R5;
630;Q9Y6N7;Q9HCK4,
631;Q9P1Y6;
632;Q9P2K8;
633;Q15058;
634;P51532;P51531
635;Q8WXG6;
636;Q5TAX3;
637;O15054;
638;Q8WWZ7;Q4W5N1,Q8WWZ4,Q8N139,Q8IUA7,A0A075B6Y8,A0A075B704,O94911,A0A075B6W9
639;Q8NDA8;
640;A6NJZ7;Q9UFD9,A6NNM3,
641;Q9H3S7;
642;Q14160;A0A0G2JQF1,Q9BTT6
643;Q02880;P11388,
644;Q8NFW1;
645;Q8N2S1;
646;Q9BXT8;
647;A6NE52;
648;P48681;
649;Q13395;
650;Q9P2K1;Q96IT6,
651;Q9UM73;P29376
652;O60303;
653;P26358;
654;Q13796;
655;Q8NEV4;Q8WXR4,
656;O75197;A4QPB2,O75581
657;Q5SYE7;A0A0A0MT70
658;Q96PN6;
659;A2VDJ0;
660;P11047;O00634,O95631,Q9Y6N6
661;Q96RK0;
662;Q9Y6R4;
663;Q76N89;Q9P2P5
664;Q07092;
665;Q8NFA0;Q6DHY5,A0A087X179,Q6IPX1,A0A087WVF3,P0C7X1,B9A6J9,A0A087WXS9,P35125,A6NER0,Q8IZP1,A6NDS4,A0A087X1G2
666;O75140;
667;Q5TGY3;
668;Q5T5Y3;
669;Q8TEU7;Q9Y4G8
670;Q04637;O43432,
671;A0A2R8YF49;Q8IW93,A5YM69,Q12774,A0A2R8YFR7
672;Q9Y6X0;
673;Q8TDY2;
674;Q8NI27;P56381,Q5VTU8
675;Q13009;
676;Q8N2E2;
677;Q5K651;Q8IVG5,
678;Q9Y4F5;F8VVU0,
679;Q9GZU2;A0A3B3IRU6,Q9NZV7
680;P10070;
681;O60241;
682;Q7Z745;
683;O14514;O60242,P0C6T2,
684;Q5SW79;Q96L14
685;Q9C0B2;
686;Q7Z2Y5;
687;Q09428;O60706,
688;Q15648;
689;P10071;
690;Q5SYB0;
691;Q6XZF7;
692;Q6ZQQ2;Q6ZUB0,P0C874
693;Q9P265;Q14689,Q9Y2E4,
694;A1L4H1;
695;O43426;Q9BTK2,O15056
696;O60486;
697;Q6ZWJ8;
698;Q9P2R6;O15225,
699;O15061;
700;Q149M9;
701;Q6PGP7;
702;O15069;
703;Q96JN8;K7ESJ6,K7ESM1
704;Q5T890;
705;Q9NZM4;
706;Q9NRL2;
707;Q9ULG1;
708;O94913;
709;Q9NYU2;Q9NYU1,
710;Q6DT37;
711;Q9NRD9;Q9NRD8
712;Q5VZL5;O95789,
713;Q92887;P33527,O15438
714;Q8WWN8;
715;Q9NZN5;
716;Q9NRJ4;
717;O75095;
718;Q8IXJ9;
719;Q7Z3T8;
720;Q12766;
721;Q7Z460;O75122,
722;Q8TEK3;
723;Q96NW7;
724;O75093;O94813,O75094
725;Q9BVV6;
726;P35573;
727;O94916;
728;Q5RHP9;
729;Q96JP2;
730;Q9BX26;
731;Q96QB1;Q9Y3M8,Q92502
732;Q14146;
733;Q96F81;
734;Q8N3D4;
735;O15085;A0A286YFK9,
736;Q92547;
737;Q8TER5;
738;O43379;O60336
739;Q5QGS0;
740;Q8N2Y8;
741;Q9P2D6;
742;P07814;
743;Q13233;
744;Q14004;P50750,Q9NYV4
745;Q9ULD9;
746;Q8TEQ6;
747;P57071;
748;Q9Y4B6;
749;P39880;
750;Q9Y2I1;
751;A4FU69;
752;O94759;
753;O95255;
754;Q8IWU2;
755;Q13017;Q9NRY4,
756;Q9UKJ3;
757;Q5THR3;
758;Q04656;P35670,
759;O60312;Q9P241,O94823
760;Q86UU0;
761;P42695;
762;Q08378;
763;Q8IWB6;
764;Q9UMD9;C9JFL3
765;O75064;
766;Q5VYS8;
767;Q86X10;
768;Q9P267;
769;Q03468;P0DP91,Q8N328
770;Q8IVE3;Q9ULM0
771;Q9ULL8;
772;Q5T3U5;
773;Q96QZ7;
774;Q9P227;
775;Q9Y4E6;
776;A0A0A0MQW5;Q96Q04,
777;Q08AD1;
778;Q13428;
779;Q5JU85;Q6DN90,
780;O14529;
781;O60306;
782;Q13224;O15399,Q12879,Q14957
783;Q9BXF3;
784;Q6AHZ1;
785;Q9UIG0;
786;P20742;P01023
787;Q5TCQ9;
788;P13569;
789;Q92626;P22079,P11678,A1KZ92,P05164,
790;Q9UBG0;E7EME3,
791;Q14C86;
792;Q9BQS8;
793;A6NC98;
794;P49790;
795;O94910;Q9HAR2,O95490,
796;Q9C000;Q9Y2G2
797;Q9UPX8;
798;Q5SXM2;
799;Q5SNV9;
800;Q9Y4B4;
801;P54296;Q5VTT5,
802;A0JNW5;Q6BDS2
803;Q15596;
804;Q13018;
805;Q99590;
806;P09884;
807;P30414;
808;Q6ZNL6;
809;Q96RY7;
810;Q5VT52;
811;Q92859;P43146,A0A0J9YVP2,A0A0A0MT91,
812;Q9BXM0;
813;Q9UPV0;
814;P63135;P61565,Q902F9,P63133,P63136,P63132,Q9BXR3,Q9QC07,Q9WJR5,Q9NX77,Q9UQG0,P10266
815;Q6P1J6;
816;Q9ULI0;Q6PL18,
817;P22897;
818;O15360;
819;Q86UL8;
820;A8K2U0;
821;O60244;
822;Q5T9S5;
823;Q6ZRR7;
824;Q9NR16;Q86VB7
825;Q9UHC1;
826;P28827;O14522,Q92729
827;Q9BXW9;
828;Q6ZP82;
829;Q96P48;
830;O14924;O43665,
831;Q13635;
832;Q9NTI5;Q29RF7,
833;O75747;
834;Q68CZ2;
835;Q6YHK3;
836;Q6ZUB1;
837;Q2M1Z3;
838;Q5VXU9;
839;Q10570;
840;Q9C0A6;
841;Q15788;A0A075B6W1
842;Q96T23;
843;Q15262;
844;Q7Z591;
845;P30622;Q9UDT6,
846;O15440;
847;Q9BZ95;
848;Q12769;
849;A2PYH4;
850;Q6F5E8;
851;Q711Q0;
852;Q76L83;
853;Q9Y2L5;
854;P29475;P29474
855;Q7Z5J8;
856;A0A0G2JMS6;Q6IE36,
857;Q6PFW1;O43314
858;Q14191;
859;Q12816;Q9UNF1,Q9HAY2,
860;Q8WXD9;Q8WXE0,
861;P53355;O43293,Q9UIK4
862;Q6ZV73;
863;Q9H6S0;
864;O75882;Q5VV63
865;Q9ULJ7;
866;Q8N3P4;
867;A2RUR9;Q3MJ40,Q6NUI1,Q8IYA2,
868;Q14207;
869;Q76LX8;
870;O00512;
871;O75161;
872;O95405;
873;Q9Y6Q9;
874;O94964;
875;Q4ADV7;
876;Q76I76;Q8WYL5,
877;Q2V2M9;
878;Q9ULM3;
879;Q68DA7;
880;Q86US8;
881;P54132;
882;Q9BZF9;
883;Q8TER0;
884;B1AJZ9;
885;Q96PC5;A4FU28,Q96RT6,Q8IX95,Q8IX94,Q86UF2,P0CG41,A4D2H0,A0A2R8YE69
886;Q96RT1;
887;O15014;
888;O15040;
889;Q15075;
890;Q9UQ26;Q9H426,Q9UJD0
891;Q7Z3K3;
892;Q9P2E9;
893;Q63HR2;
894;P82279;
895;Q49AJ0;
896;Q86YV5;
897;Q9NXG0;
898;Q92954;
899;Q13075;
900;Q5TB80;
901;A7MBM2;
902;O15550;O14607
903;Q15021;
904;Q6P2E9;
905;Q86VH2;
906;Q04912;
907;Q9BY12;
908;Q9BXX3;A7E2S9,Q9BXX2
909;Q5JY77;Q96D09
910;Q8WWL7;
911;Q92628;
912;P42704;
913;A3KN83;
914;Q9BWH6;
915;Q9H2M9;
916;Q9P2K9;
917;O75694;
918;O14802;
919;P08581;
920;O75116;Q13464,
921;P39059;
922;Q8NET4;
923;Q9NS87;
924;Q6P158;
925;Q96MS0;
926;Q9H7P9;
927;Q96M83;
928;Q9ULL1;
929;P78357;
930;Q8WX93;
931;Q9UHN6;
932;P06213;P14616,P08069
933;Q14152;
934;Q8NDG6;
935;Q96J66;Q96J65
936;Q9Y2I6;
937;Q9ULI3;
938;O75976;P16870,P14384
939;Q96HA7;
940;Q86UU1;
941;Q9UBW7;
942;Q14112;
943;Q8IY17;Q6ZV29
944;Q96K76;
945;Q6ZMQ8;
946;Q99683;Q6ZN16,O95382,
947;Q9NRR4;
948;Q8ND23;
949;Q5VZK9;
950;Q14202;
951;O15013;Q9HCE6
952;Q5JR59;
953;Q7Z478;
954;Q5T7B8;
955;Q9ULK4;
956;Q9Y2G9;
957;P35916;P35968,
958;Q2KHR2;
959;O60885;Q15059
960;Q6ZSZ5;A0A0A6YYC8,A0A087WZG4
961;Q8WUJ3;
962;P52701;
963;Q9UKE5;Q8N4C8,O95819
964;Q9P266;A0A2R8YD15,
965;Q9UHC9;A6NIU2,
966;A6NKG5;
967;Q92752;
968;Q99570;
969;Q86UP2;
970;Q96Q06;
971;Q12767;
972;Q8TEW0;
973;O60503;
974;Q9P2D0;
975;Q9ULU8;Q86UW7,
976;Q14678;
977;Q70CQ4;
978;A4D1E1;
979;Q9BZ72;P48739,Q00169,
980;Q9UPX0;
981;O94856;Q92823,
982;Q5TZJ5;Q5VU36,Q5VVP1,Q8IWB4,P0DKV0,Q5VYP0,B4DYI2
983;Q6ZU65;
984;Q9BZA7;Q9BZA8,Q9HC56
985;Q8IZF2;
986;Q9H0D2;
987;Q9H6K5;
988;Q2M1P5;
989;Q96PV0;
990;P21860;P00533,Q15303,P04626
991;Q8NEZ3;
992;Q9H4Z2;
993;Q641Q2;Q5SRD0,Q9Y4E1
994;Q9UKV3;
995;O75129;O14525,
996;Q9HAW4;
997;O15067;
998;P17948;
999;Q06278;P47989
1000;Q96PE1;Q8IWK6
1001;Q9HC77;
1002;Q9Y4H2;
1003;Q12913;
1004;Q8N6C5;
1005;Q8NHM5;Q9Y2K7,A0A494BZU2,
1006;Q8TE82;
1007;Q9C0J8;P10163,P02810,P02812,Q04118,P04280
1008;Q9UPT6;O60271,
1009;A0A2R8Y872;Q587J7,
1010;Q6ZU69;A6NFA0,Q63HN1
1011;Q8N122;
1012;Q07889;Q07890
1013;O95163;
1014;Q14005;
1015;Q9UHC6;Q8WYK1,Q96NU0,Q9BZ76,A0A1B0GTE1,H3BPC8,Q9C0A0
1016;Q7Z494;
1017;Q9HCH0;
1018;Q56UN5;
1019;Q9BQG0;
1020;Q9NVI1;
1021;O95271;Q9H2K2
1022;Q9H582;
1023;Q6TFL3;
1024;O15439;
1025;Q6R2W3;Q6ZNG9
1026;Q9H9J4;D6R9N7,D6RBM5,C9J2P7,D6RCP7,Q0WX57,P0C7I0,A6NCW0,D6RA61,D6RJB6,D6RBQ6,C9JPN9,Q7RTZ2,D6R901,Q6QN14,A8MUK1,C9JVI0,A6NCW7,C9JLJ4,P0C7H9,Q6R6M4,C9JJH3,
1027;Q9NSC2;Q9BXA9
1028;Q68CQ1;
1029;Q96RG2;
1030;Q14CM0;
1031;Q7Z589;
1032;Q8IZU2;
1033;O14594;Q9GZV7
1034;O95342;P08183,P21439,A0N4Z8,Q2M3G0
1035;Q5TCY1;
1036;Q9Y2K2;
1037;Q9Y4C1;
1038;Q10571;
1039;Q86TC9;
1040;Q8NDW8;Q7Z4L5
1041;P46934;Q96PU5,
1042;O94966;
1043;Q5DID0;
1044;Q6P2S7;
1045;Q6ZUA9;
1046;Q96L93;
1047;Q68CZ1;
1048;Q9NRP7;
1049;Q5XPI4;
1050;Q9UMZ2;
1051;Q6UXX5;
1052;Q99700;
1053;Q4LE39;
1054;Q92878;
1055;Q9H7N4;
1056;O14976;
1057;P51816;
1058;Q96K83;Q2M1K9
1059;Q9BYE9;
1060;O75153;
1061;Q68DX3;Q6IN97,
1062;Q86UK5;
1063;P08575;
1064;P12821;A0A075B6Y4,
1065;O75533;
1066;Q9NS15;
1067;Q9UPT8;M0QY97,
1068;O95155;
1069;Q0VF96;
1070;Q9HCE3;
1071;Q9NZW4;Q17RH7,
1072;O15090;
1073;O60423;O43520,
1074;Q6P4R8;
1075;Q6Y7W6;
1076;Q9UQP3;
1077;O60343;
1078;Q9C0C7;
